code;name;price;manufacture
2105-3502040-ВИС;Цилиндр задний тормозной ВАЗ 2105 AAAAsВИС;242.7;1
1124;Цилиндр передний тормозной ВАЗ 2101 БЕЛМАГ внешний левый 1124;316.2;2
кт028123;Цилиндр передний тормозной ОберКрафт 2101 внешний левый;174.8;3
1123;Цилиндр передний тормозной ВАЗ 2101 БЕЛМАГ внешний правый 1123;316.2;4
1126;Цилиндр передний тормозной ВАЗ 2101 БЕЛМАГ внутренний левый 1126;316.2;5
1125;Цилиндр передний тормозной ВАЗ 2101 БЕЛМАГ внутренний правый 1125;316.2;6
